"","n","k","NP","itermax","pMut","pCR","pGBest","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1",30,3,10,500,0.05,0.05,0.05,0.551216563786018,0.585784465020583,0.509460733882035,0.503040980795608,0.545071159122085,0.528555384087789,0.481586934156383,0.465647290809321,0.523836591220843,0.502547153635111
"2",30,3,10,500,0.05,0.05,0.5,0.517361968449932,0.469570473251024,0.486936728395067,0.511106824417004,0.514069787379966,0.487073902606314,0.491189128943761,0.519803669410152,0.498486796982181,0.506525205761318
"3",30,3,10,500,0.05,0.05,0.95,0.449378429355281,0.49870627572017,0.479035493827155,0.465427812071331,0.464796810699601,0.465290637860084,0.476950445816179,0.493027263374475,0.476950445816179,0.471161694101503
"4",30,3,10,500,0.05,0.5,0.05,0.461093106995887,0.461422325102878,0.482163065843616,0.472725480109744,0.472176783264749,0.45461848422497,0.452917524005496,0.47727966392317,0.460132887517152,0.479254972565159
"5",30,3,10,500,0.05,0.5,0.5,0.454645919067215,0.460599279835383,0.452286522633738,0.454371570644721,0.454344135802476,0.463644547325101,0.444165809327858,0.450338648834023,0.459035493827163,0.445071159122082
"6",30,3,10,500,0.05,0.5,0.95,0.450475823045263,0.459721364883404,0.451600651577504,0.444193244170096,0.459858539094658,0.447238511659807,0.451243998628253,0.459858539094658,0.470338648834015,0.475057441700961
"7",30,3,10,500,0.05,0.95,0.05,0.430722736625512,0.449680212620027,0.444906550068583,0.459995713305891,0.433603395061731,0.439090363511668,0.433466220850477,0.451737825788751,0.455798182441701,0.44762259945131
"8",30,3,10,500,0.05,0.95,0.5,0.446442901234571,0.435907921810703,0.449378429355281,0.443370198902601,0.430887345679011,0.44896690672154,0.433713134430726,0.444083504801102,0.429076646090536,0.44896690672154
"9",30,3,10,500,0.05,0.95,0.95,0.425894204389578,0.435661008230455,0.429021776406038,0.441998456790119,0.432862654320992,0.441477194787383,0.439776234567896,0.455276920438966,0.429076646090536,0.438322187928671
"10",30,3,10,500,0.5,0.05,0.05,0.500818758573392,0.454783093278469,0.462684327846373,0.495002572016456,0.472204218106995,0.4365663580247,0.45859653635117,0.487101337448559,0.490146604938263,0.454316700960224
"11",30,3,10,500,0.5,0.05,0.5,0.417169924554185,0.407293381344313,0.413658264746215,0.40614111796982,0.403315329218099,0.41450874485597,0.409460733882025,0.41763631687243,0.414563614540467,0.412313957475992
"12",30,3,10,500,0.5,0.05,0.95,0.409597908093286,0.401093106995883,0.415990226337454,0.405921639231831,0.403589677640613,0.408555384087794,0.398761145404665,0.409049211248291,0.405949074074076,0.402848936899861
"13",30,3,10,500,0.5,0.5,0.05,0.43840449245542,0.433713134430726,0.426168552812078,0.438816015089175,0.439556755829906,0.430256344307267,0.4244127229081,0.414261831275714,0.41684070644718,0.420270061728401
"14",30,3,10,500,0.5,0.5,0.5,0.402135631001367,0.410722736625506,0.40520833333333,0.416621227709191,0.408006687242807,0.406799554183809,0.405043724279831,0.407787208504803,0.407019032921806,0.409350994513037
"15",30,3,10,500,0.5,0.5,0.95,0.401065672153644,0.403095850480102,0.403726851851846,0.399639060356657,0.403534807956102,0.40158693415638,0.40564729080933,0.397005315500694,0.400462105624146,0.40707390260631
"16",30,3,10,500,0.5,0.95,0.05,0.418816015089161,0.423315329218105,0.432341392318243,0.428116426611801,0.433164437585738,0.43483796296296,0.42819873113855,0.445784465020575,0.42463220164609,0.438596536351171
"17",30,3,10,500,0.5,0.95,0.5,0.415386659807955,0.405345507544577,0.408857167352533,0.397773491083678,0.412121913580255,0.427293381344312,0.408610253772292,0.41228652263374,0.405318072702325,0.405153463648833
"18",30,3,10,500,0.5,0.95,0.95,0.404796810699583,0.403370198902596,0.399309842249659,0.40715620713306,0.404577331961593,0.404220679012343,0.407128772290814,0.405674725651575,0.395304355281206,0.402163065843626
"19",30,3,10,500,0.95,0.05,0.05,0.472807784636486,0.456923010973949,0.461943587105627,0.453054698216729,0.444165809327858,0.465757030178322,0.459008058984911,0.464632201646088,0.473438786008237,0.486031378600815
