"","n","k","NP","itermax","pMut","pCR","pGBest","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1",25,3,10,500,0.05,0.05,0.05,0.723900444444439,0.667136711111099,0.685978311111106,0.698436977777772,0.769809777777776,0.664508444444448,0.74175217777777,0.723661511111105,0.616346311111113,0.69563804444444
"2",25,3,10,500,0.05,0.05,0.5,0.627268977777783,0.654678044444447,0.67515804444445,0.674441244444456,0.675089777777776,0.641536711111106,0.631603911111112,0.630716444444443,0.670311111111106,0.655804444444436
"3",25,3,10,500,0.05,0.05,0.95,0.627951644444437,0.64843164444444,0.652834844444443,0.669491911111111,0.641161244444452,0.678059377777776,0.646451911111116,0.687241244444449,0.644506311111112,0.622763377777773
"4",25,3,10,500,0.05,0.5,0.05,0.617882311111116,0.638089244444445,0.630955377777777,0.619384177777779,0.626688711111108,0.648670577777774,0.644779377777772,0.629043911111106,0.636246044444441,0.628907377777779
"5",25,3,10,500,0.05,0.5,0.5,0.585728711111115,0.621910044444438,0.592452977777783,0.602897777777778,0.643516444444443,0.598835911111109,0.60897351111111,0.603034311111105,0.603819377777773,0.639079111111107
"6",25,3,10,500,0.05,0.5,0.95,0.635495111111113,0.604604444444448,0.610236444444447,0.594603377777774,0.614537244444435,0.633481244444442,0.644199111111111,0.649353244444442,0.604365511111107,0.610646044444434
"7",25,3,10,500,0.05,0.95,0.05,0.595115377777782,0.621329777777777,0.602658844444444,0.585626311111115,0.599689244444444,0.604706844444441,0.611192177777775,0.594705777777781,0.603751111111099,0.610782577777774
"8",25,3,10,500,0.05,0.95,0.5,0.60730097777778,0.588595911111107,0.583236977777783,0.600440177777779,0.594637511111107,0.589892977777777,0.605287111111109,0.585592177777775,0.613479111111114,0.583987911111111
"9",25,3,10,500,0.05,0.95,0.95,0.581769244444447,0.584192711111105,0.592418844444435,0.586138311111102,0.591633777777774,0.599996444444445,0.598187377777774,0.604775111111122,0.57890204444444,0.613376711111106
"10",25,3,10,500,0.5,0.05,0.05,0.620442311111122,0.640307911111117,0.664030577777773,0.669423644444445,0.645052444444447,0.619725511111113,0.626654577777774,0.62791751111111,0.619998577777774,0.636382577777782
"11",25,3,10,500,0.5,0.05,0.5,0.562381511111112,0.56436124444445,0.55360924444444,0.574157511111104,0.559753244444447,0.581837511111106,0.577980444444438,0.56753564444445,0.559241244444446,0.575795911111114
