"","n","k","NP","itermax","pMut","pCR","pGBest","1","2","3","4","5","6","7","8","9","10"
"1",70,7,10,500,0.05,0.05,0.05,0.27646346040152,0.230919058550813,0.257165605482779,0.248361110756944,0.207982187009185,0.268535414547608,0.245517567675407,0.255073393337628,0.253401697587266,0.245177969945439
"2",70,7,10,500,0.05,0.05,0.5,0.216982121843595,0.231292655719792,0.238246447648895,0.226445412365966,0.20813416450156,0.204379833114689,0.223036231950784,0.21513634896551,0.237645224235736,0.225916664423655
"3",70,7,10,500,0.05,0.05,0.95,0.207915321445807,0.203786656235442,0.2156322874492,0.208738844524343,0.209836289749833,0.214913029316959,0.19793030953184,0.206844905774328,0.215809594523626,0.208192473539464
"4",70,7,10,500,0.05,0.5,0.05,0.177343365883081,0.178045000972758,0.191914222130614,0.227299874934007,0.186654735578811,0.191460669614226,0.188239279433833,0.177135459313527,0.185613956085004,0.185789733184678
"5",70,7,10,500,0.05,0.5,0.5,0.172403700720872,0.172678926179656,0.175799904683513,0.174986014779364,0.175299319609828,0.182745026755662,0.17964977449399,0.181654494749446,0.174141242051451,0.172654389917842
"6",70,7,10,500,0.05,0.5,0.95,0.17488815306075,0.182420955436174,0.179939733043009,0.175696433057461,0.170513275246236,0.18113407666968,0.176250907241975,0.178474357221719,0.174919885870487,0.176509076315515
"7",70,7,10,500,0.05,0.95,0.05,0.173288026129512,0.167381586919091,0.170289615603277,0.171540568295898,0.166957557248909,0.171477725999458,0.165665238572171,0.174278146459185,0.175273253373263,0.168441689427402
"8",70,7,10,500,0.05,0.95,0.5,0.161580489303866,0.160369202623429,0.170249439599521,0.160436181518273,0.162758966525671,0.166270711915197,0.172573697915929,0.164558273503767,0.164760570165876,0.174462763413014
"9",70,7,10,500,0.05,0.95,0.95,0.160896137262345,0.16691874122271,0.165028712408189,0.168406330010831,0.167571190457308,0.171409330461329,0.162069514568292,0.167539117653173,0.163427282165115,0.166506328027529
"10",70,7,10,500,0.5,0.05,0.05,0.198207404959759,0.213879843031197,0.209461729263408,0.213508115831373,0.195048517081412,0.21865495090859,0.221220605241958,0.215817754388996,0.217950935858156,0.210515201881114
"11",70,7,10,500,0.5,0.05,0.5,0.162175309489337,0.171944424965598,0.175455773695002,0.17043212991846,0.169198460274019,0.167093894999339,0.159816768405263,0.180071140874788,0.172958798228439,0.166609516324929
"12",70,7,10,500,0.5,0.05,0.95,0.16226722130613,0.156311312911949,0.15984238131599,0.156786511737832,0.16366414492355,0.158760859161094,0.156824024452214,0.157978022077919,0.159060280887302,0.154421000768769
"13",70,7,10,500,0.5,0.5,0.05,0.177663470601344,0.175839854024345,0.182592482605975,0.178513229913649,0.1907421481365,0.179673347438375,0.185279911596736,0.202148959924112,0.17747347040302,0.191947824909503
"14",70,7,10,500,0.5,0.5,0.5,0.15944804448921,0.164415589191388,0.160346139670645,0.166608383010285,0.157774308772514,0.163032265349573,0.162390072612408,0.163734127102182,0.161940600028714,0.160978925896334
"15",70,7,10,500,0.5,0.5,0.95,0.151585504221122,0.155952448833197,0.159485783866507,0.155595114729228,0.154694696252785,0.15624195405637,0.151882375989409,0.158443417732218,0.157018614574806,0.152827163733747
